File,Transcription,Subset_Name
1249120_44142156_102691000.wav,{'text': ' My knee feels weak and it gave away the other day at the top of the stairs. Luckily there was a rail to hold onto.'},train
1249120_44142156_109272216.wav,"{'text': ' I think I sprained my ankle, it really hurts'}",train
1249120_44142156_103207247.wav,{'text': ' Is my cut infected or just healing?'},train
1249120_44142156_100535941.wav,{'text': ' I have some terrible problems when I am breathing during the night.'},train
1249120_44142156_65967262.wav,"{'text': ' If I hit my head at the basketball game, could I have a concussion?'}",train
1249120_44142156_104815781.wav,"{'text': "" what's the symptoms of appendicitis.""}",train
1249120_44142156_108918007.wav,"{'text': ' After a breakup, I feel something strange in me.'}",train
1249120_44142156_61923550.wav,{'text': ' I have a rash and it itches very bad.'},train
1249120_44142156_108551604.wav,{'text': ' Something dark is there on my arm.'},train
1249120_44142156_106992412.wav,{'text': ' I have pain in my chest that saddens me.'},train
1249120_44142156_102100267.wav,{'text': ' I feel really sad all the time.'},train
1249120_44142156_107416693.wav,"{'text': "" My heart feels like it's going to explode.""}",train
1249120_44142156_82857166.wav,"{'text': ' When I play sports, I have some burning sensation in my spine.'}",train
1249120_44142156_68965399.wav,{'text': ' I think there is fluid in my yards.'},train
1249120_44142156_77498968.wav,{'text': ' There are lots of hairs on my pillow in the morning.'},train
1249120_44142156_83374589.wav,"{'text': ' After playing tennis, I had a powerful sensation close to my neck.'}",train
1249120_44142156_72079889.wav,{'text': ' My face is all broken out with pimples.'},train
1249120_44142156_84118183.wav,"{'text': ' Even if the temperature is high in the house, my body is always cold.'}",train
1249120_44142156_69073946.wav,"{'text': "" My lean doesn't want to bend well.""}",train
1249120_44142156_67177464.wav,"{'text': "" My agony is really embarrassing. It's so red.""}",train
1249120_44142156_72116310.wav,{'text': ' There is a tingling sensation in my neck.'},train
1249120_44142156_78886399.wav,"{'text': ' When I wake in the morning, I feel strange and have a heart attack.'}",train
1249120_44142156_81211021.wav,{'text': ' I have constant stomach pain and bloating.'},train
1249120_44142156_71498583.wav,{'text': ' it inches inside my ears'},train
1249120_44142156_72195575.wav,{'text': ' My stomach feels full and upset and bloating after big meals.'},train
1249120_44142156_81969965.wav,"{'text': ' When I am doing sport, I have pain under my skin.'}",train
1249120_44142156_68688606.wav,{'text': ' My head hurts in the back and the pain lasts all day.'},train
1249120_44142156_72215245.wav,{'text': ' In the morning my respiration is loud.'},train
1249120_44142156_85471796.wav,"{'text': "" I feel like I just can't cope anymore. I feel overwhelmed and like I just can't get a break.""}",train
1249120_44142156_85979757.wav,{'text': ' When I am driving my eyes see in double'},train
1249120_44142156_96389835.wav,{'text': ' When I woke up a flight upstairs my right knee hurts.'},train
1249120_44142156_96248379.wav,"{'text': ' My mind feels very sad as if it hurts. The way I feel in my head is awful and when I think about my breakup, I cry with sadness.'}",train
1249120_44142156_95959757.wav,{'text': ' I have a card that is red and so on.'},train
1249120_44142156_98856249.wav,"{'text': "" I can't hear out of my ear properly. I feel like there is something in it causing irritation.""}",train
1249120_44142156_87393869.wav,"{'text': "" My husband left me for another woman. My heart hurts so badly to the point I can't eat or sleep.""}",train
1249120_44142156_95625169.wav,{'text': ' I cannot get warm no matter how much I work up or how high I put the heating on.'},train
1249120_44142156_87050205.wav,{'text': ' Mr. Hair is falling out just by combing it.'},train
1249120_44142156_92669868.wav,{'text': ' I get chills and aches all over.'},train
1249120_44142156_92200558.wav,{'text': ' I have been over my cold for weeks but still cough everyday.'},train
1249120_44160489_15134043.wav,"{'text': ' I have whooping cough with excess mucus, need mucolytic'}",train
1249120_44160489_103212940.wav,{'text': ' After an hard working day I have food as a'},train
1249120_44160489_10247966.wav,{'text': ' I have general discomfort on my torso'},train
1249120_44160489_104477041.wav,{'text': ' The wound is still open'},train
1249120_44142156_99940305.wav,{'text': ' I have a very rough sensation close to my arms.'},train
1249120_44160489_102714693.wav,{'text': ' I have dark spot on my skin'},train
1249120_44142156_98978171.wav,{'text': ' My hair is falling out in bunches.'},train
1249120_44160489_107722835.wav,{'text': ' I feel deep tingling when I touch a nail followed by bad sensation'},train
1249120_44160489_102101174.wav,{'text': ' I stopped sport because I got injured from sport'},train
